编号,rain,pore,micro,deep
1,0.0,66.63,0.0,27.119
2,0.0,66.78,2.0,27.992
3,0.0,65.82,2.0,26.553
4,0.0,66.1,1.0,30.534
5,0.0,64.68,0.0,27.894878480144225
6,0.0,64.34636753335647,1.0,24.238
7,0.0,63.91,0.0,28.046
8,0.5,63.29,0.0,28.29969659043976
9,0.0,62.91,0.0,26.945
10,0.0,62.27,1.0,25.481
11,18.4,73.97,0.0,35.179
12,0.2,73.96,0.0,30.336
13,0.0,71.11,1.0,30.556
14,0.0,71.84,1.0,29.099
15,0.3,70.63,2.0,28.665
16,0.0,68.88,0.0,25.781
17,8.0,70.61,1.0,33.543
18,3.9,74.34,1.0,37.376
19,0.6,72.84,1.0,30.782
20,0.4,72.01,0.0,34.991
21,5.5,73.18,1.0,32.504
22,0.1,73.68,0.0,30.034
23,0.0,72.62,1.0,33.398
24,0.6,71.28,1.0,35.19
25,0.2,71.32,1.0,26.585
26,2.5,71.94,1.0,33.58
27,6.3,75.47,0.0,33.063
28,0.0,75.21,0.0,27.456
29,0.2,72.18,1.0,26.818
30,0.7,72.19,2.0,30.62
31,0.0,71.33,1.0,26.732
32,0.8,72.19,2.0,30.576
33,0.7,70.03,0.0,31.086
34,0.1,71.51,1.0,29.608
35,0.0,70.78,0.0,32.79
36,0.0,69.16,0.0,30.892
37,0.6,68.04,0.0,30.354
38,0.0,67.14,0.0,25.799
39,0.3,67.73,0.0,29.988
40,7.3,68.81,0.0,32.34
41,14.7,75.0,1.0,31.438
42,0.5,75.23,0.0,31.156
43,5.4,78.68,0.0,35.609
44,0.2,76.74,1.0,29.729
45,0.0,75.65,1.0,27.819
46,0.0,75.28,0.0,28.471
47,0.0,72.48,0.0,31.091
48,0.25,72.9,0.0,31.635
49,19.1,83.35,1.0,31.380220584047755
50,0.3,81.91,0.0,34.375
51,0.0,80.53,1.0,31.335
52,0.3,79.92,0.0,29.315
53,0.0,78.92,1.0,35.121
54,2.89465571914833,84.7148782793421,0.0,29.2121219387496
55,0.0,76.13,0.0,32.322
56,0.0,76.87,0.0,27.143
57,10.2,80.19,1.0,33.202
58,0.0,79.14,3.0,33.077
59,0.0,79.63,0.0,32.554
60,0.0,78.19,0.0,33.664
61,0.0,78.06405439871287,0.0,31.114
62,0.0,77.4,2.0,32.92379537317481
63,4.4,79.6,0.0,34.077
64,3.8,82.36,2.0,33.29
65,0.0,78.86,1.0,33.089
66,4.0,80.95,2.0,36.411
67,4.2,80.79,1.0,34.967
68,3.2,82.53,1.0,29.894
