编号,rain,pore,micro,deep,surface
1,0.1,68.99,2.0,28.729,89.95
2,0.1,84.69,2.0,33.913,101.833
3,0.0,78.71,1.0,35.947,96.002
4,0.0,87.47,2.0,36.166,104.74
5,0.0,89.83,0.0,38.34,103.566
6,0.0,88.43,1.0,34.295,102.164
7,0.1,66.95,0.0,25.624,79.168
8,0.0,71.34,3.0,31.552,96.567
9,0.0,89.23,1.0,37.592,105.691
10,0.05,120.07,1.0,50.771,134.748
11,0.0,87.82,1.0,34.778,101.321
12,0.8,68.81,2.0,31.265,92.088
13,0.4,89.17,1.0,39.668,108.602
14,0.2,94.32,2.0,39.773,113.179
15,0.2,68.99,1.0,31.826,90.481
16,0.4,98.36,4.0,38.759,118.606
17,0.2,82.86,2.0,36.02,95.066
18,0.0,89.48,0.0,38.682,105.283
19,0.0,68.44,4.0,27.582,94.563
20,0.0,79.72,1.0,33.640539343422255,93.167
21,7.0,95.1,2.0,42.825,125.842
22,0.3,69.09,2.0,26.516,82.872
23,0.0,87.96,3.0,33.003,104.87
24,6.1,70.12,3.0,32.252,105.178
25,0.3,71.77,0.0,26.812,82.468
26,0.1,86.72,1.0,37.647,103.703
27,0.0,83.27,1.0,34.789,97.377
28,0.0,78.26,2.0,32.623,97.084
29,0.2,53.46,4.0,22.642,74.226
30,13.2,79.24,2.0,35.683,119.393
31,0.0,75.79,0.0,33.051345067426716,89.231
32,0.0,76.76,3.0,29.607,93.12
33,0.0,86.9,1.0,39.455,102.376
34,0.2,68.76,1.0,27.094,85.458
35,0.0,58.49,0.0,23.821,74.113
36,0.0,80.3,1.0,31.997,95.156
37,0.0,85.02,2.0,38.319,106.775
38,2.7,57.67,0.0,23.952,76.418
39,0.0,78.94,1.0,32.86120397926266,96.243
40,0.0,63.32,3.0,26.622,79.87
41,0.0,86.52,1.0,35.377,102.151
42,0.0,79.54577162583853,1.0,30.867,92.9
43,0.3,57.18,3.0,26.928,85.39
44,0.0,82.57,2.0,38.039,102.548
45,0.1,90.12,3.0,36.919,113.124
46,13.5,84.99,1.0,38.213,125.368
47,0.1,81.64,3.0,39.081,108.756
48,0.0,81.72,3.0,28.629,99.673
49,0.2,99.16,1.0,42.767,113.267
50,0.3,62.28,1.0,24.429,74.618
51,0.7,88.38,1.0,34.962,104.192
52,0.0,72.07,0.0,31.62,88.236
53,0.0,67.85,1.0,30.136,87.753
54,0.0,74.9,4.0,33.085,100.342
55,11.3,101.98,0.0,32.77202343218172,135.493
56,0.3,72.1,2.0,29.744,90.213
57,0.0,79.5468374728493,2.0,35.259,111.368
58,0.0,58.7,2.0,22.939,78.022
59,0.1,80.06,1.0,33.523,94.553
60,0.6,59.17,0.0,22.409,72.375
61,0.0,58.02,0.0,26.83,74.792
62,0.0,86.22,1.0,35.922,102.768
63,0.8,89.55,1.0,33.84,101.487
64,0.2,95.06,1.0,32.90956761440009,105.536
65,14.3,100.62,0.0,46.498,138.645
66,0.0,74.28,1.0,33.691,90.472
67,1.8,86.71,0.0,32.95468980669034,100.771
68,0.8,73.48,1.0,31.103,88.784
69,0.0,71.58,3.0,30.374,92.181
70,5.4,83.4,1.0,35.314,107.088
71,1.1,77.28,1.0,32.297,93.483
72,0.0,69.58,0.0,28.161,84.719
73,0.3,78.49,0.0,33.02039408093135,91.918
74,0.3,91.39,1.0,36.361,106.955
75,0.0,82.2,0.0,33.784,93.822
76,0.0,70.91,1.0,29.191,86.162
77,0.4,92.33,1.0,37.579,110.207
78,0.9,79.54836260109273,4.0,31.499,99.81
79,0.0,78.7,5.0,33.11181341787955,106.589
80,5.7,85.71,1.0,38.615,98.46802151983026
81,0.0,67.2,2.0,28.324,87.871
82,4.8,106.66,1.0,43.847,128.71
83,5.2,77.6,0.0,33.538,100.096
84,0.5,76.8,3.0,32.858,96.942
85,10.0,76.01,2.0,35.301,114.309
86,0.2,77.56,2.0,32.402,97.288
87,0.8,90.44,0.0,38.102,104.09
88,0.9,87.55,3.0,38.643,98.46874904717731
89,0.5,68.65,1.0,29.338,87.737
90,11.6,69.47,5.0,31.058,115.065
91,0.0,74.65,3.0,30.584,94.663
92,0.4,71.07,0.0,29.027,84.949
93,0.0,72.31,0.0,27.625,85.816
94,0.1,99.58,1.0,40.698,114.339
95,0.1,71.03,3.0,29.033,88.775
96,0.1,83.32,0.0,34.983,95.711
97,0.0,64.3,1.0,28.214,84.193
98,0.0,73.46,3.0,33.973,98.46963488044348
99,0.1,81.13,0.0,32.53,93.584
100,4.1,85.63,1.0,35.47,106.317
101,0.2,76.85,1.0,31.422,93.795
102,0.4,59.56,0.0,22.621,73.315
103,0.2,84.36,2.0,33.933,99.048
104,0.6,84.59,4.0,38.289,98.47022377183048
105,0.0,85.82,1.0,38.897,108.143
106,0.1,96.27,2.0,38.625,111.315
107,13.0,82.37,1.0,38.021,119.646
108,3.1,67.22,0.0,30.263,89.061
109,0.0,75.58,0.0,32.79,91.066
110,0.0,61.0,1.0,24.36,78.027
111,0.3,88.24,0.0,38.214,100.952
112,0.0,100.11,0.0,41.469,112.947
113,3.3691944729582,75.3678893974789,6.0,26.1613776323289,83.123530596838
114,7.9,84.3,1.0,35.85,113.986
115,0.1,54.84,2.0,19.802,74.545
116,0.3,55.37,4.0,25.395,79.66
117,0.0,88.3,2.0,35.806,104.969
118,0.2,75.92,0.0,28.719,89.065
119,0.0,66.23,3.0,21.98,78.068
120,10.0,61.65,1.0,25.453,95.904
121,0.0,82.48,3.0,37.309,98.47195736857961
122,0.0,100.27,2.0,40.215,115.858
123,2.8,69.0,1.0,29.878,90.659
124,2.1,85.7,0.0,34.886,103.964
125,0.0,83.56,2.0,34.71,101.856
126,0.5,88.87,0.0,36.76,102.311
127,0.0,74.32,1.0,25.834,88.067
128,0.1,68.57,5.0,26.029,94.238
129,0.0,65.86,5.0,26.875,98.47285846360178
130,19.0,87.69,0.0,42.502,133.887
131,0.9,84.43,2.0,33.494,103.352
132,0.4,87.25,2.0,33.052,102.155
133,0.0,85.08,4.0,33.89,100.883
134,0.1,83.54,0.0,33.452,94.41
135,5.1,71.13,1.0,30.234,96.928
136,0.0,70.97,1.0,29.635,87.731
137,0.1,88.45,0.0,35.786,100.751
138,0.0,78.87,1.0,31.827,91.671
139,0.2,83.4,0.0,34.84,96.366
140,11.9,59.42,5.0,26.958,109.976
141,12.1,87.98,0.0,39.069,120.78
142,0.5,66.25,1.0,29.428,86.327
143,0.0,69.72,2.0,27.257,80.767
144,0.5,70.44,0.0,28.105,84.212
145,0.5,71.76,0.0,31.142,86.37
146,1.2,79.55339703262698,1.0,39.487,109.473
147,1.0,83.46,1.0,31.355,95.621
148,0.2,101.79,4.0,40.795,119.266
149,5.1,101.42,1.0,45.786,127.126
150,0.2,90.87,0.0,37.461,102.169
151,1.0,85.83,3.0,35.589,104.979
152,7.6,99.82,0.0,39.684,122.612
153,0.0,91.12,5.0,38.561,116.389
154,10.9,81.29,1.0,36.837,118.846
155,0.1,91.99,2.0,39.248,110.007
156,2.4,90.44,1.0,39.403,111.538
157,0.0,88.46,2.0,38.739,108.792
158,0.0,72.44,2.0,25.581,87.914
159,0.0,91.88,2.0,39.11,108.87
160,0.0,78.97,3.0,33.934,101.258
