feature,gbdt_importance
pore_micro6,0.8800473111866985
pore,0.0457766020382858
pore_6h_mean,0.013340860158288899
blast_micro6,0.008761679941243309
blast_impulse_6h,0.007918303310191952
micro,0.007291502795876685
pore_diff,0.006256281636305401
tau2,0.00571308619104919
blast_impulse_24h,0.005616030874116841
micro_1h,0.004600208768169393
tau,0.004365247044446239
rain24_pore,0.004194382271975483
micro_6h,0.002085026672226741
rain_1h,0.001833287139123438
blast_inv_distance,0.000717304629852266
blast_impulse,0.0004271038142208347
rain_6h,0.00036832036167083705
rain,0.0002790694585581288
rain_24h,0.00021941581847618254
blast_charge,8.775447972934532e-05
stage_3,7.314278410951167e-05
stage_2,2.807862538497374e-05
blast_flag,0.0
