stage,q50,q75,q90,q95,window
1,1.0506179084436047,1.5611202918122409,2.9804192337458493,9.712293361226719,6h_stage_stats
2,1.1472255046708557,2.355050900070002,3.7801485298673887,9.945147145819227,6h_stage_stats
3,9.971070184212738,10.000560125609669,10.037333399046322,10.082389467908378,6h_stage_stats
1,,1.5611202918122409,2.9861364056908686,9.71792806784303,3h
2,,2.382788338854133,3.799640880001836,9.94233809951155,3h
3,,10.000241102543317,10.058193492067087,10.0956777422183,3h
1,,1.5611202918122409,2.9804192337458493,9.712293361226719,6h
2,,2.355050900070002,3.7801485298673887,9.945147145819227,6h
3,,10.000560125609669,10.037333399046322,10.082389467908378,6h
1,,1.5780587843055436,2.697213978807561,8.739803994056418,12h
2,,2.346228975251538,3.794968533047464,9.947012878159029,12h
3,,9.996697814386595,10.018765997612585,10.045266948622078,12h
